Time,I1V,I1A,I1P,I2V,I2A,I2P,I3V,I3A,I3P,I4V,I4A,I4P,G1V,G1A,G1P,G2V,G2A,G2P,G3V,G3A,G3P,FRQ,EFF,INVT,BOOT,SR,KWHT
05:45:04,266.575745,0.030613,8.16063,278.800751,0.029807,8.31027,,,,,,,243.347321,0.094727,0,,,,,,,50.001999,0,19.717249,19.722378,,23413.597
05:50:34,269.950867,0.041086,11.091094,290.692169,0.039474,11.474899,,,,,,,242.800446,0.094727,0,,,,,,,49.978008,0,21.267523,20.601805,,23413.597
05:55:32,329.407959,0.048336,15.922264,323.089417,0.046725,15.096289,,,,,,,242.788284,0.094727,6.445312,,,,,,,49.989002,20.778894,21.837547,21.143156,,23413.597
06:00:05,331.252502,0.063642,21.081705,301.504333,0.066865,20.160028,,,,,,,243.395889,0.094727,14.501953,,,,,,,50.03302,35.163296,22.310106,21.608961,,23413.597
06:05:15,371.14566,0.076532,28.40452,344.085815,0.085394,29.382727,,,,,,,242.532623,0.094727,0,,,,,,,50.005001,0,22.884224,22.05979,,23413.599
06:10:10,386.157104,0.1007,38.886024,357.252716,0.098283,35.111942,,,,,,,244.847977,0.426047,81.031403,,,,,,,49.978008,109.504906,23.433622,22.598881,,23413.602
06:15:34,360.824066,0.122451,44.183342,336.727264,0.123257,41.503925,,,,,,,244.425369,0.426047,68.81958,,,,,,,49.968021,80.314819,24.035715,23.170055,,23413.606
06:20:39,388.119385,0.14823,57.531094,366.946381,0.146619,53.801384,,,,,,,243.892975,0.426047,92.4291,,,,,,,49.979008,83.02079,24.598257,23.771591,,23413.613
06:25:16,408.134644,0.163537,66.745033,373.598511,0.169176,63.203899,,,,,,,243.929321,0.426047,83.473763,,,,,,,50.001999,64.235825,25.211914,24.310732,,23413.621
06:30:02,398.794189,0.18851,75.176857,385.627289,0.183677,70.830788,,,,,,,244.787643,0.563284,123.365715,,,,,,,50.019009,84.492645,25.741369,24.78618,,23413.63
