#* 04/04/2020 11:13:38	Stopping 123Solar (1775)

#* 04/04/2020 11:13:11	Starting 123Solar (1775)

#* 04/04/2020 11:10:22	Starting 123Solar (1686)

#* 04/04/2020 11:10:12	Stopping 123Solar (1215)

#* 04/04/2020 11:01:06	Starting 123Solar (1215)

#* 04/04/2020 11:01:05	Stopping 123Solar (5248)

#1 04/04/2020 09:45:09	VGrid high warning 250.75 V on phase 1

#1 04/04/2020 07:25:09	Sync. inverter time

#1 04/04/2020 06:25:07	Clean up log

#1 04/04/2020 06:20:33	Missing 5' sample

#1 04/04/2020 06:14:58	Missing 5' sample

#1 04/04/2020 06:10:31	Missing 5' sample

#* 04/04/2020 06:06:04	123Solar awake

#* 03/04/2020 19:25:03	123Solar asleep

#1 03/04/2020 17:04:21	VGrid high warning 250.14 V on phase 1

#1 03/04/2020 16:54:14	VGrid high warning 250.23 V on phase 1

#1 03/04/2020 16:39:06	VGrid high warning 250.58 V on phase 1

#* 03/04/2020 14:52:37	Starting 123Solar (5248)

#* 03/04/2020 14:52:32	Stopping 123Solar (30794)

#* 03/04/2020 13:11:30	Starting 123Solar (30794)

#* 03/04/2020 13:11:25	Stopping 123Solar (32639)

#1 03/04/2020 12:54:11	VGrid high warning 250.37 V on phase 1

#1 03/04/2020 07:20:16	Sync. inverter time

#1 03/04/2020 06:24:21 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 03/04/2020 06:19:57	Clean up log

#1 03/04/2020 06:15:31	Missing 5' sample

#* 03/04/2020 06:09:10	123Solar awake

#* 02/04/2020 19:23:09	123Solar asleep

#1 02/04/2020 15:39:03	VGrid high warning 250.45 V on phase 1

#* 02/04/2020 14:41:38	Starting 123Solar (32639)

#* 02/04/2020 14:41:36	Stopping 123Solar (10273)

#* 02/04/2020 10:11:30	Starting 123Solar (10273)

#* 02/04/2020 10:11:27	Stopping 123Solar (28819)

#1 02/04/2020 07:25:04	Sync. inverter time

#1 02/04/2020 06:29:22 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 02/04/2020 06:24:57	Clean up log

#1 02/04/2020 06:22:21 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 02/04/2020 06:14:59	Missing 5' sample

#* 02/04/2020 06:11:14	123Solar awake

#* 01/04/2020 19:21:13	123Solar asleep

#* 01/04/2020 17:33:37	Starting 123Solar (28819)

#* 01/04/2020 17:33:35	Stopping 123Solar (25380)

#1 01/04/2020 16:00:00	VGrid high warning 250.78 V on phase 1

#* 01/04/2020 15:53:59	Starting 123Solar (25380)

#* 01/04/2020 15:53:57	Stopping 123Solar (9342)

#1 01/04/2020 07:29:59	Sync. inverter time

#* 01/04/2020 07:18:19	Starting 123Solar (9342)

#* 01/04/2020 07:18:17	Stopping 123Solar (4391)

#1 01/04/2020 07:09:47	Missing 5' sample

#* 01/04/2020 06:58:36	Starting 123Solar (4391)

#* 01/04/2020 06:58:34	Stopping 123Solar (2161)

#* 01/04/2020 06:32:45	Starting 123Solar (2161)

#* 01/04/2020 06:32:43	Stopping 123Solar (1495)

#1 01/04/2020 06:25:14	Clean up log

#1 01/04/2020 06:23:53 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 01/04/2020 06:14:53	Missing 5' sample

#* 01/04/2020 06:13:57	123Solar awake

#* 01/04/2020 06:11:57	Starting 123Solar (1495)

#1 31/03/2020 07:25:50	Sync. inverter time

#1 31/03/2020 06:30:35 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#1 31/03/2020 06:25:15	Clean up log

#1 31/03/2020 06:20:27	Missing 5' sample

#* 31/03/2020 06:15:40	123Solar awake

#* 31/03/2020 05:47:40	Starting 123Solar (1389)

#* 31/03/2020 05:47:38	Stopping 123Solar (1269)

#* 31/03/2020 05:43:57	Starting 123Solar (1269)

#* 30/03/2020 19:18:03	123Solar asleep

#1 30/03/2020 17:00:02	VGrid high warning 251.26 V on phase 1

#1 30/03/2020 16:55:15	VGrid high warning 250.5 V on phase 1

#* 30/03/2020 16:22:45	Starting 123Solar (23477)

#* 30/03/2020 16:22:43	Stopping 123Solar (23428)

#* 30/03/2020 16:21:18	Starting 123Solar (23428)

#* 30/03/2020 16:21:16	Stopping 123Solar (23182)

#* 30/03/2020 16:10:35	Starting 123Solar (23182)

#* 30/03/2020 16:10:33	Stopping 123Solar (12962)

#1 30/03/2020 14:05:12	VGrid high warning 250.15 V on phase 1

#1 30/03/2020 07:54:59	Sync. inverter time

#1 30/03/2020 07:00:06 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

