#* 04/04/2020 11:13:38	Stopping 123Solar (1775)

#* 04/04/2020 11:13:11	Starting 123Solar (1775)

#* 04/04/2020 11:10:22	Starting 123Solar (1686)

#* 04/04/2020 11:10:12	Stopping 123Solar (1215)

#* 04/04/2020 11:01:06	Starting 123Solar (1215)

#* 04/04/2020 11:01:05	Stopping 123Solar (5248)

#2 04/04/2020 10:45:32	VGrid high warning 250.82 V on phase 1

#2 04/04/2020 10:00:30	VGrid high warning 250.31 V on phase 1

#2 04/04/2020 09:55:28	VGrid high warning 250.63 V on phase 1

#2 04/04/2020 09:45:17	VGrid high warning 252.01 V on phase 1

#2 04/04/2020 09:40:03	VGrid high warning 251.41 V on phase 1

#2 04/04/2020 07:25:21	Sync. inverter time

#2 04/04/2020 06:30:24 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 04/04/2020 06:25:11	Clean up log

#2 04/04/2020 06:15:33	Missing 5' sample

#* 04/04/2020 06:06:04	123Solar awake

#* 03/04/2020 19:25:03	123Solar asleep

#2 03/04/2020 17:06:01	VGrid high warning 251.13 V on phase 1

#2 03/04/2020 17:01:26	VGrid high warning 251.68 V on phase 1

#2 03/04/2020 16:41:05	VGrid high warning 252.94 V on phase 1

#* 03/04/2020 14:52:37	Starting 123Solar (5248)

#* 03/04/2020 14:52:32	Stopping 123Solar (30794)

#2 03/04/2020 14:11:14	VGrid high warning 251.01 V on phase 1

#2 03/04/2020 13:41:05	VGrid high warning 250.15 V on phase 1

#* 03/04/2020 13:11:30	Starting 123Solar (30794)

#* 03/04/2020 13:11:25	Stopping 123Solar (32639)

#2 03/04/2020 07:20:22	Sync. inverter time

#2 03/04/2020 06:20:04	Clean up log

#* 03/04/2020 06:09:10	123Solar awake

#* 02/04/2020 19:23:09	123Solar asleep

#2 02/04/2020 17:49:23	VGrid high warning 250.15 V on phase 1

#2 02/04/2020 17:44:19	VGrid high warning 250.02 V on phase 1

#2 02/04/2020 16:54:29	VGrid high warning 250.44 V on phase 1

#2 02/04/2020 16:49:18	VGrid high warning 251.71 V on phase 1

#2 02/04/2020 16:39:29	VGrid high warning 250.06 V on phase 1

#2 02/04/2020 16:34:10	VGrid high warning 250.68 V on phase 1

#2 02/04/2020 16:29:21	VGrid high warning 250.65 V on phase 1

#2 02/04/2020 16:14:17	VGrid high warning 250.35 V on phase 1

#2 02/04/2020 16:04:11	VGrid high warning 250.31 V on phase 1

#2 02/04/2020 15:59:03	VGrid high warning 250.83 V on phase 1

#2 02/04/2020 15:49:18	VGrid high warning 250.16 V on phase 1

#2 02/04/2020 15:44:36	VGrid high warning 251.17 V on phase 1

#2 02/04/2020 15:39:10	VGrid high warning 252.21 V on phase 1

#2 02/04/2020 15:34:22	VGrid high warning 251.61 V on phase 1

#2 02/04/2020 15:29:30	VGrid high warning 251.18 V on phase 1

#2 02/04/2020 15:14:43	VGrid high warning 250.96 V on phase 1

#2 02/04/2020 15:09:05	VGrid high warning 250.86 V on phase 1

#2 02/04/2020 15:04:20	VGrid high warning 251.48 V on phase 1

#2 02/04/2020 14:59:41	VGrid high warning 251.31 V on phase 1

#2 02/04/2020 14:54:30	VGrid high warning 250.02 V on phase 1

#* 02/04/2020 14:41:38	Starting 123Solar (32639)

#* 02/04/2020 14:41:36	Stopping 123Solar (10273)

#2 02/04/2020 13:54:17	VGrid high warning 250.41 V on phase 1

#2 02/04/2020 13:49:24	VGrid high warning 250.38 V on phase 1

#2 02/04/2020 13:44:19	VGrid high warning 250.9 V on phase 1

#2 02/04/2020 13:24:02	VGrid high warning 250.15 V on phase 1

#* 02/04/2020 10:11:30	Starting 123Solar (10273)

#* 02/04/2020 10:11:27	Stopping 123Solar (28819)

#2 02/04/2020 07:20:21	Sync. inverter time

#2 02/04/2020 06:24:14 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#2 02/04/2020 06:19:45	Clean up log

#2 02/04/2020 06:15:34	Missing 5' sample

#* 02/04/2020 06:11:14	123Solar awake

#* 01/04/2020 19:21:13	123Solar asleep

#2 01/04/2020 17:39:13	VGrid high warning 251.41 V on phase 1

#2 01/04/2020 17:34:05	VGrid high warning 251.37 V on phase 1

#* 01/04/2020 17:33:37	Starting 123Solar (28819)

#* 01/04/2020 17:33:35	Stopping 123Solar (25380)

#2 01/04/2020 17:19:00	VGrid high warning 250.11 V on phase 1

#2 01/04/2020 17:14:08	VGrid high warning 250.68 V on phase 1

#2 01/04/2020 16:54:01	VGrid high warning 250.83 V on phase 1

#2 01/04/2020 16:49:00	VGrid high warning 250.45 V on phase 1

#2 01/04/2020 16:29:00	VGrid high warning 250.98 V on phase 1

#2 01/04/2020 16:19:09	VGrid high warning 250.37 V on phase 1

#2 01/04/2020 16:14:02	VGrid high warning 250.53 V on phase 1

#2 01/04/2020 16:04:02	VGrid high warning 250.58 V on phase 1

