#* 04/04/2020 11:13:38	Stopping 123Solar (1775)

#* 04/04/2020 11:13:11	Starting 123Solar (1775)

#* 04/04/2020 11:10:22	Starting 123Solar (1686)

#* 04/04/2020 11:10:12	Stopping 123Solar (1215)

#* 04/04/2020 11:01:06	Starting 123Solar (1215)

#* 04/04/2020 11:01:05	Stopping 123Solar (5248)

#3 04/04/2020 10:44:39	VGrid high warning 250.17 V on phase 1

#3 04/04/2020 09:54:21	VGrid high warning 250.03 V on phase 1

#3 04/04/2020 09:44:10	VGrid high warning 251.3 V on phase 1

#3 04/04/2020 09:24:17	VGrid high warning 250.09 V on phase 1

#3 04/04/2020 07:24:47	Sync. inverter time

#3 04/04/2020 06:24:56	Clean up

#3 04/04/2020 06:19:52	Missing 5' sample

#3 04/04/2020 06:09:56	Missing 5' sample

#* 04/04/2020 06:06:04	123Solar awake

#* 03/04/2020 19:25:03	123Solar asleep

#3 03/04/2020 17:22:09	VGrid high warning 251.31 V on phase 1

#3 03/04/2020 16:52:24	VGrid high warning 252.08 V on phase 1

#3 03/04/2020 16:42:26	VGrid high warning 252.66 V on phase 1

#3 03/04/2020 16:37:11	VGrid high warning 250.06 V on phase 1

#3 03/04/2020 16:07:26	VGrid high warning 250.54 V on phase 1

#* 03/04/2020 14:52:37	Starting 123Solar (5248)

#* 03/04/2020 14:52:32	Stopping 123Solar (30794)

#3 03/04/2020 13:07:13	Connection lost

#3 03/04/2020 13:04:44	Missing 5' sample

#3 03/04/2020 13:00:27	Connection lost

#3 03/04/2020 13:00:27	Missing 5' sample

#3 03/04/2020 12:55:08	VGrid high warning 251.29 V on phase 1

#3 03/04/2020 07:19:56	Sync. inverter time

#3 03/04/2020 06:20:11	Clean up

#3 03/04/2020 06:14:56	Missing 5' sample

#3 03/04/2020 06:10:06	Missing 5' sample

#* 03/04/2020 06:09:10	123Solar awake

#* 02/04/2020 19:23:09	123Solar asleep

#3 02/04/2020 16:56:28	VGrid high warning 250.1 V on phase 1

#3 02/04/2020 16:51:21	VGrid high warning 252.25 V on phase 1

#3 02/04/2020 16:41:32	VGrid high warning 250.44 V on phase 1

#3 02/04/2020 16:36:14	VGrid high warning 250.71 V on phase 1

#3 02/04/2020 16:26:24	VGrid high warning 251.3 V on phase 1

#3 02/04/2020 16:16:33	VGrid high warning 250.64 V on phase 1

#3 02/04/2020 16:11:17	VGrid high warning 250.11 V on phase 1

#3 02/04/2020 16:01:12	VGrid high warning 250.24 V on phase 1

#3 02/04/2020 15:51:04	VGrid high warning 250.57 V on phase 1

#3 02/04/2020 15:46:15	VGrid high warning 250.45 V on phase 1

#3 02/04/2020 15:41:27	VGrid high warning 252.01 V on phase 1

#3 02/04/2020 15:36:21	VGrid high warning 251.21 V on phase 1

#3 02/04/2020 15:31:20	VGrid high warning 251.92 V on phase 1

#3 02/04/2020 15:16:05	VGrid high warning 251.35 V on phase 1

#3 02/04/2020 15:11:05	VGrid high warning 250.84 V on phase 1

#3 02/04/2020 15:06:17	VGrid high warning 250.29 V on phase 1

#3 02/04/2020 15:01:04	VGrid high warning 251.18 V on phase 1

#* 02/04/2020 14:41:38	Starting 123Solar (32639)

#* 02/04/2020 14:41:36	Stopping 123Solar (10273)

#3 02/04/2020 07:19:59	Sync. inverter time

#3 02/04/2020 06:25:04 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 02/04/2020 06:20:07	Clean up

#3 02/04/2020 06:20:07	Missing 5' sample

#* 02/04/2020 06:11:14	123Solar awake

#* 01/04/2020 19:21:13	123Solar asleep

#3 01/04/2020 17:38:20	VGrid high warning 250.82 V on phase 1

#* 01/04/2020 17:33:37	Starting 123Solar (28819)

#* 01/04/2020 17:33:35	Stopping 123Solar (25380)

#3 01/04/2020 15:50:45	Connection lost

#3 01/04/2020 15:49:58	Missing 5' sample

#3 01/04/2020 15:45:19	VGrid high warning 250.37 V on phase 1

#3 01/04/2020 15:40:09	VGrid high warning 250.28 V on phase 1

#3 01/04/2020 15:35:26	VGrid high warning 250.81 V on phase 1

#3 01/04/2020 15:30:05	VGrid high warning 250.87 V on phase 1

#3 01/04/2020 15:25:25	VGrid high warning 251.57 V on phase 1

#3 01/04/2020 15:20:22	VGrid high warning 250.32 V on phase 1

#3 01/04/2020 15:05:06	VGrid high warning 250.1 V on phase 1

#3 01/04/2020 15:00:01	VGrid high warning 250.32 V on phase 1

#3 01/04/2020 14:35:37	VGrid high warning 250.17 V on phase 1

#3 01/04/2020 14:15:20	VGrid high warning 250.37 V on phase 1

#3 01/04/2020 08:09:52	Sync. inverter time

#* 01/04/2020 07:18:19	Starting 123Solar (9342)

#* 01/04/2020 07:18:17	Stopping 123Solar (4391)

#3 01/04/2020 07:15:05	Connection lost

#3 01/04/2020 07:15:05	Missing 5' sample

#3 01/04/2020 07:10:49	Connection lost

#3 01/04/2020 07:10:49	Missing 5' sample

#3 01/04/2020 07:05:10	Connection lost

#3 01/04/2020 07:05:10	Missing 5' sample

#3 01/04/2020 07:00:02	Connection lost

#3 01/04/2020 07:00:02	Missing 5' sample

#* 01/04/2020 06:58:36	Starting 123Solar (4391)

#* 01/04/2020 06:58:34	Stopping 123Solar (2161)

#3 01/04/2020 06:55:07	Connection lost

#3 01/04/2020 06:55:07	Missing 5' sample

#3 01/04/2020 06:50:10	Connection lost

#3 01/04/2020 06:50:10	Missing 5' sample

#3 01/04/2020 06:45:06	Missing 5' sample

#3 01/04/2020 06:40:00	Missing 5' sample

#3 01/04/2020 06:35:05	Missing 5' sample

#* 01/04/2020 06:32:45	Starting 123Solar (2161)

#* 01/04/2020 06:32:43	Stopping 123Solar (1495)

#3 01/04/2020 06:25:00	Clean up

#* 01/04/2020 06:13:57	123Solar awake

#* 01/04/2020 06:11:57	Starting 123Solar (1495)

#3 31/03/2020 07:25:08	Sync. inverter time

#3 31/03/2020 06:30:02 
Alarm 1:               Bulk UV W011
Alarm 2:               Bulk UV W011
Alarm 3:               Bulk UV W011
Alarm 4:               Bulk UV W011

#3 31/03/2020 06:25:04	Clean up

#3 31/03/2020 06:19:52	Missing 5' sample

#* 31/03/2020 06:15:40	123Solar awake

#* 31/03/2020 05:47:40	Starting 123Solar (1389)

#* 31/03/2020 05:47:38	Stopping 123Solar (1269)

#* 31/03/2020 05:43:57	Starting 123Solar (1269)

#* 30/03/2020 19:18:03	123Solar asleep

#3 30/03/2020 17:15:04	Sync. inverter time

